year,month,day,period,1
2023,1,1,1,997.222
2023,1,1,2,969.634
2023,1,1,3,938.056
2023,1,1,4,908.453
2023,1,1,5,888.322
2023,1,1,6,874.558
2023,1,1,7,853.821
2023,1,1,8,825.48
2023,1,1,9,835.617
2023,1,1,10,859.806
2023,1,1,11,882.182
2023,1,1,12,888.636
2023,1,1,13,892.839
2023,1,1,14,893.03
2023,1,1,15,894.352
2023,1,1,16,909.371
2023,1,1,17,944.887
2023,1,1,18,1054.783
2023,1,1,19,1086.533
2023,1,1,20,1096.402
2023,1,1,21,1087.088
2023,1,1,22,1060.721
2023,1,1,23,1016.131
2023,1,1,24,960.521
2023,1,2,1,1031.098
2023,1,2,2,994.933
2023,1,2,3,971.308
2023,1,2,4,967.033
2023,1,2,5,983.403
2023,1,2,6,1026.25
2023,1,2,7,1097.722
2023,1,2,8,1171.871
2023,1,2,9,1245.217
2023,1,2,10,1295.665
2023,1,2,11,1335.345
2023,1,2,12,1366.118
2023,1,2,13,1385.569
2023,1,2,14,1399.11
2023,1,2,15,1398.352
2023,1,2,16,1398.885
2023,1,2,17,1423.944
2023,1,2,18,1518.872
2023,1,2,19,1526.282
2023,1,2,20,1515.117
2023,1,2,21,1491.587
2023,1,2,22,1436.369
2023,1,2,23,1352.55
2023,1,2,24,1255.509
2023,1,3,1,1259.594
2023,1,3,2,1210.392
2023,1,3,3,1176.419
2023,1,3,4,1164.099
2023,1,3,5,1169.014
2023,1,3,6,1198.071
2023,1,3,7,1269.932
2023,1,3,8,1340.32
2023,1,3,9,1399.808
2023,1,3,10,1432.594
2023,1,3,11,1461.547
2023,1,3,12,1479.69
2023,1,3,13,1481.935
2023,1,3,14,1493.766
2023,1,3,15,1489.951
2023,1,3,16,1492.792
2023,1,3,17,1516.059
2023,1,3,18,1612.719
2023,1,3,19,1617.062
2023,1,3,20,1613.068
2023,1,3,21,1580.36
2023,1,3,22,1528.665
2023,1,3,23,1452.307
2023,1,3,24,1370.354
2023,1,4,1,1428.495
2023,1,4,2,1376.457
2023,1,4,3,1343.287
2023,1,4,4,1329.963
2023,1,4,5,1341.266
2023,1,4,6,1376.673
2023,1,4,7,1454.911
2023,1,4,8,1532.074
2023,1,4,9,1576.599
2023,1,4,10,1598.266
2023,1,4,11,1612.086
2023,1,4,12,1617.56
2023,1,4,13,1615.168
2023,1,4,14,1624.523
2023,1,4,15,1634.448
2023,1,4,16,1641.923
2023,1,4,17,1670.576
2023,1,4,18,1753.67
2023,1,4,19,1763.23
2023,1,4,20,1762.939
2023,1,4,21,1746.213
2023,1,4,22,1693.54
2023,1,4,23,1606.599
2023,1,4,24,1512.714
2023,1,5,1,1422.039
2023,1,5,2,1367.615
2023,1,5,3,1332.747
2023,1,5,4,1312.727
2023,1,5,5,1324.329
2023,1,5,6,1360.925
2023,1,5,7,1441.475
2023,1,5,8,1514.487
2023,1,5,9,1563.801
2023,1,5,10,1585.771
2023,1,5,11,1606.227
2023,1,5,12,1620.345
2023,1,5,13,1629.854
2023,1,5,14,1646.124
2023,1,5,15,1654.129
2023,1,5,16,1663.248
2023,1,5,17,1682.014
2023,1,5,18,1759.468
2023,1,5,19,1764.39
2023,1,5,20,1761.807
2023,1,5,21,1745.643
2023,1,5,22,1686.373
2023,1,5,23,1605.419
2023,1,5,24,1514.658
2023,1,6,1,1418.352
2023,1,6,2,1366.21
2023,1,6,3,1332.486
2023,1,6,4,1315.937
2023,1,6,5,1325.189
2023,1,6,6,1352.335
2023,1,6,7,1422.259
2023,1,6,8,1509.374
2023,1,6,9,1554.029
2023,1,6,10,1584.409
2023,1,6,11,1596.707
2023,1,6,12,1600.706
2023,1,6,13,1598.272
2023,1,6,14,1607.992
2023,1,6,15,1612.293
2023,1,6,16,1610.032
2023,1,6,17,1618.412
2023,1,6,18,1698.619
