year,month,day,period,1
2023,1,1,1,238.519
2023,1,1,2,229.955
2023,1,1,3,221.476
2023,1,1,4,215.562
2023,1,1,5,211.842
2023,1,1,6,212.856
2023,1,1,7,216.669
2023,1,1,8,218.952
2023,1,1,9,229.788
2023,1,1,10,241.847
2023,1,1,11,251.219
2023,1,1,12,255.741
2023,1,1,13,258.421
2023,1,1,14,259.014
2023,1,1,15,260.342
2023,1,1,16,264.072
2023,1,1,17,269.865
2023,1,1,18,276.441
2023,1,1,19,300.997
2023,1,1,20,300.11
2023,1,1,21,291.799
2023,1,1,22,280.435
2023,1,1,23,264.879
2023,1,1,24,244.257
2023,1,2,1,236.246
2023,1,2,2,226.096
2023,1,2,3,219.924
2023,1,2,4,217.051
2023,1,2,5,217.14
2023,1,2,6,221.975
2023,1,2,7,232.556
2023,1,2,8,246.474
2023,1,2,9,267.254
2023,1,2,10,286.274
2023,1,2,11,296.976
2023,1,2,12,302.606
2023,1,2,13,305.74
2023,1,2,14,308.322
2023,1,2,15,310.623
2023,1,2,16,313.314
2023,1,2,17,315.689
2023,1,2,18,322.45
2023,1,2,19,346.526
2023,1,2,20,342.469
2023,1,2,21,333.637
2023,1,2,22,319.197
2023,1,2,23,296.044
2023,1,2,24,272.268
2023,1,3,1,248.531
2023,1,3,2,237.813
2023,1,3,3,230.509
2023,1,3,4,226.724
2023,1,3,5,226.059
2023,1,3,6,232.494
2023,1,3,7,246.21
2023,1,3,8,262.296
2023,1,3,9,280.43
2023,1,3,10,292.556
2023,1,3,11,299.826
2023,1,3,12,304.523
2023,1,3,13,308.371
2023,1,3,14,309.975
2023,1,3,15,311.361
2023,1,3,16,316.342
2023,1,3,17,318.21
2023,1,3,18,322.89
2023,1,3,19,338.109
2023,1,3,20,332.503
2023,1,3,21,322.709
2023,1,3,22,308.76
2023,1,3,23,288.643
2023,1,3,24,266.224
2023,1,4,1,240.245
2023,1,4,2,230.014
2023,1,4,3,223.153
2023,1,4,4,219.582
2023,1,4,5,218.962
2023,1,4,6,225.03
2023,1,4,7,238.565
2023,1,4,8,254.277
2023,1,4,9,271.363
2023,1,4,10,284.766
2023,1,4,11,291.687
2023,1,4,12,296.207
2023,1,4,13,300.017
2023,1,4,14,301.607
2023,1,4,15,303.36
2023,1,4,16,307.586
2023,1,4,17,309.279
2023,1,4,18,312.45
2023,1,4,19,329.78
2023,1,4,20,325.297
2023,1,4,21,313.971
2023,1,4,22,299.722
