year,month,day,period,1
2023,1,1,1,4853.57
2023,1,1,2,4653.351
2023,1,1,3,4443.027
2023,1,1,4,4256.142
2023,1,1,5,4120.668
2023,1,1,6,4058.954
2023,1,1,7,4060.367
2023,1,1,8,4000.315
2023,1,1,9,4013.69
2023,1,1,10,4159.648
2023,1,1,11,4342.082
2023,1,1,12,4544.674
2023,1,1,13,4765.409
2023,1,1,14,4902.997
2023,1,1,15,4972.504
2023,1,1,16,5018.606
2023,1,1,17,5082.213
2023,1,1,18,5216.88
2023,1,1,19,5622.367
2023,1,1,20,5882.387
2023,1,1,21,5838.426
2023,1,1,22,5690.56
2023,1,1,23,5390.115
2023,1,1,24,5168.004
2023,1,1,1,3889.214
2023,1,1,2,3769.416
2023,1,1,3,3665.786
2023,1,1,4,3564.201
2023,1,1,5,3461.834
2023,1,1,6,3404.548
2023,1,1,7,3360.468
2023,1,1,8,3290.954
2023,1,1,9,3239.424
2023,1,1,10,3298.695
2023,1,1,11,3415.642
2023,1,1,12,3505.119
2023,1,1,13,3592.018
2023,1,1,14,3654.762
2023,1,1,15,3708.115
2023,1,1,16,3757.211
2023,1,1,17,3811.197
2023,1,1,18,3914.364
2023,1,1,19,4256.133
2023,1,1,20,4443.993
2023,1,1,21,4468.414
2023,1,1,22,4437.127
2023,1,1,23,4307.973
2023,1,1,24,4235.285
2023,1,1,1,1865.152
2023,1,1,2,1824.371
2023,1,1,3,1785.553
2023,1,1,4,1738.63
2023,1,1,5,1623.672
2023,1,1,6,1610.965
2023,1,1,7,1584.162
2023,1,1,8,1559.374
2023,1,1,9,1520.358
2023,1,1,10,1506.251
2023,1,1,11,1525.086
2023,1,1,12,1518.397
2023,1,1,13,1584.076
2023,1,1,14,1616.799
2023,1,1,15,1626.423
2023,1,1,16,1635.155
2023,1,1,17,1685.233
2023,1,1,18,1691.575
2023,1,1,19,1816.584
2023,1,1,20,1935.503
2023,1,1,21,1928.301
2023,1,1,22,1934.318
2023,1,1,23,1915.812
2023,1,1,24,1846.039
2023,1,1,1,2410.671
2023,1,1,2,2343.439
2023,1,1,3,2303.199
2023,1,1,4,2245.638
2023,1,1,5,2163.092
2023,1,1,6,2117.996
2023,1,1,7,2110.609
2023,1,1,8,2086.437
2023,1,1,9,2059.3
2023,1,1,10,2100.044
2023,1,1,11,2132.558
2023,1,1,12,2131.398
2023,1,1,13,2161.209
2023,1,1,14,2158.308
2023,1,1,15,2161.331
2023,1,1,16,2154.357
2023,1,1,17,2219.153
2023,1,1,18,2258.599
2023,1,1,19,2418.146
2023,1,1,20,2564.57
2023,1,1,21,2604.843
2023,1,1,22,2567.911
2023,1,1,23,2516.326
2023,1,1,24,2425.175
2023,1,1,1,6346.841
2023,1,1,2,6191.328
2023,1,1,3,6000.582
2023,1,1,4,5824.197
2023,1,1,5,5629.136
2023,1,1,6,5614.449
2023,1,1,7,5566.216
2023,1,1,8,5446.779
2023,1,1,9,5347.499
2023,1,1,10,5470.598
2023,1,1,11,5612.619
2023,1,1,12,5627.02
2023,1,1,13,5679.781
2023,1,1,14,5784.292
2023,1,1,15,5822.422
2023,1,1,16,5882.303
2023,1,1,17,6007.435
2023,1,1,18,6111.211
2023,1,1,19,6576.773
2023,1,1,20,6961.608
2023,1,1,21,6974.243
2023,1,1,22,6828.268
