Month	Day	Period	Value
1	1	1	0
1	1	2	0
1	1	3	0
1	1	4	0
1	1	5	0
1	1	6	0
1	1	7	0
1	1	8	0
1	1	9	9.53
1	1	10	57.53
1	1	11	80.85
1	1	12	94.19
1	1	13	98.55
1	1	14	97.19
1	1	15	89.02
1	1	16	80.22
1	1	17	53.45
1	1	18	6.17
1	1	19	0
1	1	20	0
1	1	21	0
1	1	22	0
1	1	23	0
1	1	24	0
1	2	1	0
1	2	2	0
1	2	3	0
1	2	4	0
1	2	5	0
1	2	6	0
1	2	7	0
1	2	8	0
1	2	9	9.44
1	2	10	59.8
1	2	11	83.03
1	2	12	93.74
1	2	13	100
1	2	14	100
1	2	15	96.82
1	2	16	84.94
1	2	17	57.89
1	2	18	5.99
1	2	19	0
1	2	20	0
1	2	21	0
1	2	22	0
1	2	23	0
1	2	24	0
1	3	1	0
1	3	2	0
1	3	3	0
1	3	4	0
1	3	5	0
1	3	6	0
1	3	7	0
1	3	8	0
1	3	9	9.71
1	3	10	59.71
1	3	11	86.39
1	3	12	96.19
1	3	13	100
1	3	14	99.64
1	3	15	98.09
1	3	16	79.67
1	3	17	51.36
1	3	18	5.35
1	3	19	0
1	3	20	0
1	3	21	0
1	3	22	0
1	3	23	0
1	3	24	0
1	4	1	0
1	4	2	0
1	4	3	0
1	4	4	0
1	4	5	0
1	4	6	0
1	4	7	0
1	4	8	0
1	4	9	10.71
1	4	10	63.07
1	4	11	88.29
1	4	12	96.28
1	4	13	100
1	4	14	100
1	4	15	97.19
1	4	16	85.03
1	4	17	56.35
1	4	18	6.44
1	4	19	0
1	4	20	0
1	4	21	0
1	4	22	0
1	4	23	0
1	4	24	0
1	5	1	0
1	5	2	0
1	5	3	0
1	5	4	0
1	5	5	0
1	5	6	0
1	5	7	0
1	5	8	0
1	5	9	10.98
1	5	10	61.62
1	5	11	87.48
1	5	12	94.01
1	5	13	98.55
1	5	14	99.73
1	5	15	97.28
1	5	16	84.57
1	5	17	57.71
1	5	18	7.26
1	5	19	0
1	5	20	0
1	5	21	0
1	5	22	0
1	5	23	0
1	5	24	0
1	6	1	0
1	6	2	0
1	6	3	0
1	6	4	0
1	6	5	0
1	6	6	0
1	6	7	0
1	6	8	0
1	6	9	8.44
1	6	10	58.71
1	6	11	87.75
1	6	12	92.29
1	6	13	99.73
1	6	14	99.91
1	6	15	99
1	6	16	84.3
1	6	17	57.08
1	6	18	7.62
1	6	19	0
1	6	20	0
1	6	21	0
1	6	22	0
1	6	23	0
1	6	24	0
1	7	1	0
1	7	2	0
1	7	3	0
1	7	4	0
1	7	5	0
1	7	6	0
1	7	7	0
1	7	8	0
1	7	9	9.62
1	7	10	65.25
1	7	11	89.47
1	7	12	96.19
1	7	13	100
1	7	14	99.36
1	7	15	97.37
1	7	16	85.3
1	7	17	61.71
1	7	18	9.26
1	7	19	0
1	7	20	0
1	7	21	0
1	7	22	0
1	7	23	0
1	7	24	0
1	8	1	0
1	8	2	0
1	8	3	0
1	8	4	0
1	8	5	0
1	8	6	0
1	8	7	0
1	8	8	0
1	8	9	9.98
1	8	10	56.44
1	8	11	100
1	8	12	100
1	8	13	92.38
1	8	14	92.83
1	8	15	97.28
1	8	16	81.03
1	8	17	58.98
1	8	18	7.08
1	8	19	0
1	8	20	0
1	8	21	0
1	8	22	0
1	8	23	0
1	8	24	0
1	9	1	0
1	9	2	0
1	9	3	0
1	9	4	0
1	9	5	0
1	9	6	0
1	9	7	0
1	9	8	0
1	9	9	7.26
1	9	10	51.27
1	9	11	71.42
1	9	12	75.77
1	9	13	77.22
1	9	14	69.33
1	9	15	50.36
1	9	16	28.31
1	9	17	21.05
1	9	18	3.81
1	9	19	0
1	9	20	0
1	9	21	0
1	9	22	0
1	9	23	0
1	9	24	0
1	10	1	0
1	10	2	0
1	10	3	0
1	10	4	0
1	10	5	0
1	10	6	0
1	10	7	0
1	10	8	0
1	10	9	5.08
1	10	10	20.24
1	10	11	36.66
1	10	12	48.37
1	10	13	49.82
1	10	14	47.19
1	10	15	30.04
1	10	16	20.05
1	10	17	7.26
1	10	18	2.45
1	10	19	0
1	10	20	0
1	10	21	0
1	10	22	0
1	10	23	0
1	10	24	0
1	11	1	0
1	11	2	0
1	11	3	0
1	11	4	0
1	11	5	0
1	11	6	0
1	11	7	0
1	11	8	0
1	11	9	0
1	11	10	13.34
1	11	11	25.95
1	11	12	39.2
1	11	13	61.8
1	11	14	70.87
1	11	15	82.12
1	11	16	86.21
1	11	17	60.8
1	11	18	8.8
1	11	19	0
1	11	20	0
1	11	21	0
1	11	22	0
1	11	23	0
1	11	24	0
1	12	1	0
1	12	2	0
1	12	3	0
1	12	4	0
1	12	5	0
1	12	6	0
1	12	7	0
1	12	8	0
1	12	9	9.89
1	12	10	63.97
1	12	11	87.66
1	12	12	92.56
1	12	13	97.64
1	12	14	98.91
1	12	15	97.37
1	12	16	86.03
1	12	17	66.24
1	12	18	8.71
1	12	19	0
1	12	20	0
1	12	21	0
1	12	22	0
1	12	23	0
1	12	24	0
1	13	1	0
1	13	2	0
1	13	3	0
1	13	4	0
1	13	5	0
1	13	6	0
1	13	7	0
1	13	8	0
1	13	9	8.8
1	13	10	64.34
1	13	11	88.66
1	13	12	96.82
1	13	13	100
1	13	14	100
1	13	15	97.73
1	13	16	87.48
1	13	17	64.25
1	13	18	10.07
1	13	19	0
1	13	20	0
1	13	21	0
1	13	22	0
1	13	23	0
1	13	24	0
1	14	1	0
1	14	2	0
1	14	3	0
1	14	4	0
1	14	5	0
1	14	6	0
1	14	7	0
1	14	8	0
1	14	9	10.44
1	14	10	59.62
1	14	11	83.76
1	14	12	88.29
1	14	13	89.56
1	14	14	92.92
1	14	15	84.94
1	14	16	77.86
1	14	17	60.8
1	14	18	9.98
1	14	19	0
1	14	20	0
1	14	21	0
1	14	22	0
1	14	23	0
1	14	24	0
1	15	1	0
1	15	2	0
1	15	3	0
1	15	4	0
1	15	5	0
1	15	6	0
1	15	7	0
1	15	8	0
1	15	9	10.34
1	15	10	58.17
1	15	11	85.3
1	15	12	94.1
1	15	13	93.19
1	15	14	85.21
1	15	15	62.89
1	15	16	57.62
1	15	17	42.01
1	15	18	5.17
1	15	19	0
1	15	20	0
1	15	21	0
1	15	22	0
1	15	23	0
1	15	24	0
1	16	1	0
1	16	2	0
1	16	3	0
1	16	4	0
1	16	5	0
1	16	6	0
1	16	7	0
1	16	8	0
1	16	9	11.89
1	16	10	68.97
1	16	11	88.2
1	16	12	94.92
1	16	13	99.27
1	16	14	100
1	16	15	100
1	16	16	90.38
1	16	17	67.33
1	16	18	12.79
1	16	19	0
1	16	20	0
1	16	21	0
1	16	22	0
1	16	23	0
1	16	24	0
1	17	1	0
1	17	2	0
1	17	3	0
1	17	4	0
1	17	5	0
1	17	6	0
1	17	7	0
1	17	8	0
1	17	9	10.34
1	17	10	64.07
1	17	11	89.02
1	17	12	96.19
1	17	13	96.64
1	17	14	97.28
1	17	15	92.56
1	17	16	79.58
1	17	17	53.36
1	17	18	11.34
1	17	19	0
1	17	20	0
1	17	21	0
1	17	22	0
1	17	23	0
1	17	24	0
1	18	1	0
1	18	2	0
1	18	3	0
1	18	4	0
1	18	5	0
1	18	6	0
1	18	7	0
1	18	8	0
1	18	9	9.89
1	18	10	63.79
1	18	11	87.3
1	18	12	92.01
1	18	13	94.1
1	18	14	91.47
1	18	15	88.84
1	18	16	81.67
1	18	17	43.65
1	18	18	4.72
1	18	19	0
1	18	20	0
1	18	21	0
1	18	22	0
1	18	23	0
1	18	24	0
1	19	1	0
1	19	2	0
1	19	3	0
1	19	4	0
1	19	5	0
1	19	6	0
1	19	7	0
1	19	8	0
1	19	9	9.62
1	19	10	63.34
1	19	11	86.39
1	19	12	91.02
1	19	13	97.01
1	19	14	98.91
1	19	15	98.91
1	19	16	85.12
1	19	17	51.91
1	19	18	8.17
1	19	19	0
1	19	20	0
1	19	21	0
1	19	22	0
1	19	23	0
1	19	24	0
1	20	1	0
1	20	2	0
1	20	3	0
1	20	4	0
1	20	5	0
1	20	6	0
1	20	7	0
1	20	8	0
1	20	9	0
1	20	10	10.62
1	20	11	19.42
1	20	12	32.94
1	20	13	43.83
1	20	14	45.46
1	20	15	50.91
1	20	16	32.03
1	20	17	21.96
1	20	18	5.08
1	20	19	0
1	20	20	0
1	20	21	0
1	20	22	0
1	20	23	0
1	20	24	0
1	21	1	0
1	21	2	0
1	21	3	0
1	21	4	0
1	21	5	0
1	21	6	0
1	21	7	0
1	21	8	0
1	21	9	7.17
1	21	10	44.56
1	21	11	61.8
1	21	12	86.39
1	21	13	100
1	21	14	100
1	21	15	99.09
1	21	16	91.47
1	21	17	71.14
1	21	18	17.79
1	21	19	0
1	21	20	0
1	21	21	0
1	21	22	0
1	21	23	0
1	21	24	0
1	22	1	0
1	22	2	0
1	22	3	0
1	22	4	0
1	22	5	0
1	22	6	0
1	22	7	0
1	22	8	0
1	22	9	10.44
1	22	10	44.65
1	22	11	69.06
1	22	12	54.63
1	22	13	40.2
1	22	14	22.78
1	22	15	18.24
1	22	16	11.71
1	22	17	8.26
1	22	18	2.72
1	22	19	0
1	22	20	0
1	22	21	0
1	22	22	0
1	22	23	0
1	22	24	0
1	23	1	0
1	23	2	0
1	23	3	0
1	23	4	0
1	23	5	0
1	23	6	0
1	23	7	0
1	23	8	0
1	23	9	0
1	23	10	7.89
1	23	11	10.89
1	23	12	20.15
1	23	13	31.67
1	23	14	36.03
1	23	15	42.01
1	23	16	30.85
1	23	17	20.6
1	23	18	4.36
1	23	19	0
1	23	20	0
1	23	21	0
1	23	22	0
1	23	23	0
1	23	24	0
1	24	1	0
1	24	2	0
1	24	3	0
1	24	4	0
1	24	5	0
1	24	6	0
1	24	7	0
1	24	8	0
1	24	9	6.53
1	24	10	38.66
1	24	11	69.06
1	24	12	87.66
1	24	13	100
1	24	14	100
1	24	15	100
1	24	16	92.01
1	24	17	73.05
1	24	18	19.51
1	24	19	0
1	24	20	0
1	24	21	0
1	24	22	0
1	24	23	0
1	24	24	0
1	25	1	0
1	25	2	0
1	25	3	0
1	25	4	0
1	25	5	0
1	25	6	0
1	25	7	0
1	25	8	0
1	25	9	9.71
1	25	10	65.52
1	25	11	88.11
1	25	12	95.19
1	25	13	99.46
1	25	14	100
1	25	15	97.37
1	25	16	90.56
1	25	17	71.32
1	25	18	19.69
1	25	19	0
1	25	20	0
1	25	21	0
1	25	22	0
1	25	23	0
1	25	24	0
1	26	1	0
1	26	2	0
1	26	3	0
1	26	4	0
1	26	5	0
1	26	6	0
1	26	7	0
1	26	8	0
1	26	9	0
1	26	10	0
1	26	11	4.81
1	26	12	8.26
1	26	13	11.52
1	26	14	11.43
1	26	15	13.16
1	26	16	12.98
1	26	17	11.89
1	26	18	2.9
1	26	19	0
1	26	20	0
1	26	21	0
1	26	22	0
1	26	23	0
1	26	24	0
1	27	1	0
1	27	2	0
1	27	3	0
1	27	4	0
1	27	5	0
1	27	6	0
1	27	7	0
1	27	8	0
1	27	9	0
1	27	10	13.79
1	27	11	23.05
1	27	12	33.21
1	27	13	43.74
1	27	14	50.54
1	27	15	46.46
1	27	16	41.38
1	27	17	36.66
1	27	18	9.71
1	27	19	0
1	27	20	0
1	27	21	0
1	27	22	0
1	27	23	0
1	27	24	0
1	28	1	0
1	28	2	0
1	28	3	0
1	28	4	0
1	28	5	0
1	28	6	0
1	28	7	0
1	28	8	0
1	28	9	12.07
1	28	10	69.96
1	28	11	91.83
1	28	12	96.73
1	28	13	97.73
1	28	14	99.36
1	28	15	98.28
1	28	16	91.83
1	28	17	74.59
1	28	18	20.15
1	28	19	0
1	28	20	0
1	28	21	0
1	28	22	0
1	28	23	0
1	28	24	0
1	29	1	0
1	29	2	0
1	29	3	0
1	29	4	0
1	29	5	0
1	29	6	0
1	29	7	0
1	29	8	0
1	29	9	14.88
1	29	10	69.69
1	29	11	88.84
1	29	12	93.47
1	29	13	96.37
1	29	14	92.47
1	29	15	91.29
1	29	16	87.75
1	29	17	70.96
1	29	18	23.96
1	29	19	0
1	29	20	0
1	29	21	0
1	29	22	0
1	29	23	0
1	29	24	0
1	30	1	0
1	30	2	0
1	30	3	0
1	30	4	0
1	30	5	0
1	30	6	0
1	30	7	0
1	30	8	0
1	30	9	10.53
1	30	10	69.06
1	30	11	88.75
1	30	12	93.19
1	30	13	97.1
1	30	14	90.74
1	30	15	91.65
1	30	16	82.76
1	30	17	71.51
1	30	18	19.6
1	30	19	0
1	30	20	0
1	30	21	0
1	30	22	0
1	30	23	0
1	30	24	0
1	31	1	0
1	31	2	0
1	31	3	0
1	31	4	0
1	31	5	0
1	31	6	0
1	31	7	0
1	31	8	0
1	31	9	7.8
1	31	10	52.72
1	31	11	72.87
1	31	12	90.47
1	31	13	88.57
1	31	14	82.76
1	31	15	80.4
1	31	16	89.93
1	31	17	74.86
1	31	18	22.5
1	31	19	0
1	31	20	0
1	31	21	0
1	31	22	0
1	31	23	0
1	31	24	0
2	1	1	0
2	1	2	0
2	1	3	0
2	1	4	0
2	1	5	0
2	1	6	0
2	1	7	0
2	1	8	0
2	1	9	11.98
2	1	10	70.96
2	1	11	88.84
2	1	12	92.65
2	1	13	95.19
2	1	14	95.28
2	1	15	96.1
2	1	16	83.58
2	1	17	55.81
2	1	18	17.06
2	1	19	0
2	1	20	0
2	1	21	0
2	1	22	0
2	1	23	0
2	1	24	0
2	2	1	0
2	2	2	0
2	2	3	0
2	2	4	0
2	2	5	0
2	2	6	0
2	2	7	0
2	2	8	0
2	2	9	0
2	2	10	8.8
2	2	11	12.98
2	2	12	11.71
2	2	13	15.15
2	2	14	15.79
2	2	15	15.06
2	2	16	9.98
2	2	17	6.17
2	2	18	0
2	2	19	0
2	2	20	0
2	2	21	0
2	2	22	0
2	2	23	0
2	2	24	0
2	3	1	0
2	3	2	0
2	3	3	0
2	3	4	0
2	3	5	0
2	3	6	0
2	3	7	0
2	3	8	0
2	3	9	2.72
2	3	10	13.34
2	3	11	20.33
2	3	12	26.95
2	3	13	31.49
2	3	14	26.68
2	3	15	22.05
2	3	16	9.71
2	3	17	6.81
2	3	18	3.72
2	3	19	0
2	3	20	0
2	3	21	0
2	3	22	0
2	3	23	0
2	3	24	0
2	4	1	0
2	4	2	0
2	4	3	0
2	4	4	0
2	4	5	0
2	4	6	0
2	4	7	0
2	4	8	0
2	4	9	12.34
2	4	10	55.26
2	4	11	68.87
2	4	12	71.51
2	4	13	71.6
2	4	14	74.5
2	4	15	75.05
2	4	16	70.6
2	4	17	57.89
2	4	18	23.77
