Month	Day	Period	Val
1	1	1	25.89
1	1	2	23.98
1	1	3	32.97
1	1	4	35.69
1	1	5	81.2
1	1	6	59.4
1	1	7	57.22
1	1	8	81.74
1	1	9	55.31
1	1	10	77.11
1	1	11	88.28
1	1	12	75.48
1	1	13	66.49
1	1	14	50.14
1	1	15	24.52
1	1	16	36.24
1	1	17	41.42
1	1	18	65.4
1	1	19	65.4
1	1	20	82.83
1	1	21	77.11
1	1	22	68.66
1	1	23	79.84
1	1	24	64.03
1	2	1	69.21
1	2	2	73.3
1	2	3	72.48
1	2	4	55.31
1	2	5	49.59
1	2	6	44.96
1	2	7	38.96
1	2	8	32.97
1	2	9	18.53
1	2	10	11.99
1	2	11	23.16
1	2	12	8.72
1	2	13	0
1	2	14	0
1	2	15	4.63
1	2	16	4.36
1	2	17	4.63
1	2	18	5.99
1	2	19	5.18
1	2	20	2.72
1	2	21	8.72
1	2	22	10.63
1	2	23	19.62
1	2	24	17.98
1	3	1	17.44
1	3	2	22.89
1	3	3	28.07
1	3	4	30.25
1	3	5	30.52
1	3	6	23.98
1	3	7	22.07
1	3	8	35.15
1	3	9	43.6
1	3	10	28.34
1	3	11	21.53
1	3	12	29.16
1	3	13	31.06
1	3	14	32.43
1	3	15	25.07
1	3	16	18.53
1	3	17	22.07
1	3	18	32.97
1	3	19	42.78
1	3	20	37.87
1	3	21	69.21
1	3	22	77.38
1	3	23	88.83
1	3	24	96.73
1	4	1	95.1
1	4	2	90.19
1	4	3	88.01
1	4	4	86.1
1	4	5	63.76
1	4	6	82.56
1	4	7	86.1
1	4	8	88.28
1	4	9	89.37
1	4	10	87.47
1	4	11	81.74
1	4	12	73.57
1	4	13	83.38
1	4	14	89.92
1	4	15	87.19
1	4	16	82.29
1	4	17	77.11
1	4	18	58.86
1	4	19	48.77
1	4	20	69.21
1	4	21	33.51
1	4	22	71.93
1	4	23	58.58
1	4	24	65.12
1	5	1	77.66
1	5	2	81.2
1	5	3	58.31
1	5	4	47.41
1	5	5	58.31
1	5	6	62.94
1	5	7	77.93
1	5	8	53.13
1	5	9	52.32
1	5	10	55.86
1	5	11	38.42
1	5	12	25.07
1	5	13	16.08
1	5	14	15.8
1	5	15	3.54
1	5	16	0
1	5	17	0
1	5	18	1.63
1	5	19	4.09
1	5	20	7.9
1	5	21	4.36
1	5	22	7.08
1	5	23	10.35
1	5	24	26.98
1	6	1	34.6
1	6	2	23.98
1	6	3	10.9
1	6	4	14.99
1	6	5	65.4
1	6	6	91.28
1	6	7	92.37
1	6	8	75.48
1	6	9	72.48
1	6	10	60.22
1	6	11	53.68
1	6	12	43.32
1	6	13	40.87
1	6	14	38.96
1	6	15	19.07
1	6	16	13.62
1	6	17	15.8
1	6	18	14.17
1	6	19	11.44
1	6	20	14.44
1	6	21	3.81
1	6	22	4.63
1	6	23	11.44
1	6	24	17.17
1	7	1	12.53
1	7	2	13.35
1	7	3	8.72
1	7	4	5.18
1	7	5	8.45
1	7	6	4.9
1	7	7	4.36
1	7	8	7.08
1	7	9	8.99
1	7	10	11.99
1	7	11	1.09
1	7	12	3.27
1	7	13	8.99
1	7	14	14.17
1	7	15	22.62
1	7	16	30.25
1	7	17	33.79
1	7	18	38.69
1	7	19	43.32
1	7	20	50.41
1	7	21	68.39
1	7	22	85.56
1	7	23	76.84
1	7	24	74.66
1	8	1	98.09
1	8	2	94.28
1	8	3	93.46
1	8	4	93.46
1	8	5	92.64
1	8	6	90.74
1	8	7	89.37
1	8	8	89.37
1	8	9	86.1
1	8	10	81.74
1	8	11	75.2
1	8	12	75.2
1	8	13	73.02
1	8	14	64.58
1	8	15	65.94
1	8	16	56.4
1	8	17	44.41
1	8	18	34.88
1	8	19	28.88
1	8	20	69.75
1	8	21	58.86
1	8	22	67.85
1	8	23	74.39
1	8	24	78.2
1	9	1	71.12
1	9	2	56.4
1	9	3	59.4
1	9	4	58.58
1	9	5	91.01
1	9	6	77.38
1	9	7	77.11
1	9	8	82.83
1	9	9	85.01
1	9	10	87.19
1	9	11	91.28
1	9	12	83.65
1	9	13	77.38
1	9	14	65.12
1	9	15	49.32
1	9	16	51.77
1	9	17	59.95
1	9	18	50.41
1	9	19	42.23
1	9	20	46.32
1	9	21	35.15
1	9	22	25.89
1	9	23	28.88
1	9	24	18.8
1	10	1	31.88
1	10	2	26.16
1	10	3	28.61
1	10	4	16.89
1	10	5	17.71
1	10	6	9.54
1	10	7	1.63
1	10	8	7.36
1	10	9	0.82
1	10	10	0
1	10	11	0
1	10	12	0
1	10	13	0.27
1	10	14	0.27
1	10	15	0.27
1	10	16	0.27
1	10	17	0.27
1	10	18	0.27
1	10	19	0.82
1	10	20	1.09
1	10	21	2.72
1	10	22	5.99
1	10	23	7.9
1	10	24	14.71
1	11	1	12.81
1	11	2	21.8
1	11	3	27.79
1	11	4	47.68
1	11	5	37.06
1	11	6	27.79
1	11	7	35.97
1	11	8	30.52
1	11	9	34.6
1	11	10	38.42
1	11	11	33.79
1	11	12	19.35
1	11	13	40.33
1	11	14	71.39
1	11	15	55.31
1	11	16	43.32
1	11	17	41.96
1	11	18	24.8
1	11	19	17.71
1	11	20	39.78
1	11	21	42.23
1	11	22	53.68
1	11	23	67.03
1	11	24	69.75
1	12	1	61.58
1	12	2	69.48
1	12	3	70.57
1	12	4	64.58
1	12	5	43.87
1	12	6	37.06
1	12	7	55.86
1	12	8	39.51
1	12	9	28.07
1	12	10	18.8
1	12	11	6.54
1	12	12	6.27
1	12	13	11.99
1	12	14	7.08
1	12	15	4.9
1	12	16	2.45
1	12	17	5.99
1	12	18	4.36
1	12	19	2.45
1	12	20	8.17
1	12	21	12.53
1	12	22	4.36
1	12	23	4.9
1	12	24	5.18
1	13	1	7.36
1	13	2	2.72
1	13	3	7.08
1	13	4	4.9
1	13	5	6.27
1	13	6	15.26
1	13	7	15.26
1	13	8	28.61
1	13	9	20.16
1	13	10	8.72
1	13	11	13.9
1	13	12	0.82
1	13	13	0
1	13	14	0
1	13	15	0.27
1	13	16	0.54
1	13	17	0.27
1	13	18	1.36
1	13	19	4.63
1	13	20	6.81
1	13	21	10.63
1	13	22	10.9
1	13	23	13.35
1	13	24	35.69
1	14	1	45.5
1	14	2	50.14
1	14	3	60.76
1	14	4	58.04
1	14	5	47.68
1	14	6	36.24
1	14	7	39.78
1	14	8	47.14
1	14	9	63.49
1	14	10	78.75
1	14	11	74.66
1	14	12	37.6
1	14	13	74.39
1	14	14	65.4
1	14	15	70.03
1	14	16	55.31
1	14	17	59.13
1	14	18	47.96
1	14	19	100
1	14	20	91.01
1	14	21	89.92
1	14	22	93.73
1	14	23	91.83
1	14	24	95.91
1	15	1	96.19
1	15	2	90.46
1	15	3	86.65
1	15	4	90.46
1	15	5	89.92
1	15	6	89.92
1	15	7	87.74
1	15	8	88.01
1	15	9	90.19
1	15	10	91.55
1	15	11	98.37
1	15	12	95.37
1	15	13	92.64
1	15	14	92.1
1	15	15	91.83
1	15	16	91.83
1	15	17	89.1
1	15	18	81.47
1	15	19	68.39
1	15	20	54.5
1	15	21	41.42
1	15	22	25.89
1	15	23	19.89
1	15	24	8.99
1	16	1	0
1	16	2	0.27
1	16	3	0
1	16	4	3
1	16	5	4.9
1	16	6	8.17
1	16	7	19.62
1	16	8	28.07
1	16	9	33.24
1	16	10	20.44
1	16	11	22.07
1	16	12	31.34
1	16	13	32.15
1	16	14	10.9
1	16	15	7.9
1	16	16	11.99
1	16	17	2.45
1	16	18	3.27
1	16	19	10.35
1	16	20	9.54
1	16	21	7.63
1	16	22	10.35
1	16	23	6.81
1	16	24	8.72
1	17	1	11.72
1	17	2	7.9
1	17	3	6.54
1	17	4	1.91
1	17	5	0.27
1	17	6	0
1	17	7	1.91
1	17	8	6.27
1	17	9	3.81
1	17	10	1.09
1	17	11	6.81
1	17	12	21.8
1	17	13	21.25
1	17	14	19.07
1	17	15	11.99
1	17	16	14.71
1	17	17	24.8
1	17	18	26.43
1	17	19	37.06
1	17	20	53.41
1	17	21	61.85
1	17	22	74.11
1	17	23	79.84
1	17	24	98.37
1	18	1	98.64
1	18	2	94.01
1	18	3	93.73
1	18	4	91.55
1	18	5	88.28
1	18	6	88.56
1	18	7	86.65
1	18	8	88.56
1	18	9	86.92
1	18	10	78.2
1	18	11	74.39
1	18	12	70.03
1	18	13	85.01
1	18	14	87.74
1	18	15	94.55
1	18	16	87.19
1	18	17	88.83
1	18	18	83.11
1	18	19	76.57
1	18	20	73.84
1	18	21	62.13
1	18	22	64.31
1	18	23	72.21
1	18	24	89.37
1	19	1	85.29
1	19	2	79.84
1	19	3	78.2
1	19	4	52.59
1	19	5	80.11
1	19	6	79.02
1	19	7	74.11
1	19	8	55.59
1	19	9	20.71
1	19	10	36.24
1	19	11	39.51
1	19	12	55.86
1	19	13	71.12
1	19	14	81.47
1	19	15	79.84
1	19	16	84.74
1	19	17	91.28
1	19	18	88.83
1	19	19	90.46
1	19	20	85.29
1	19	21	85.29
1	19	22	80.38
1	19	23	77.38
1	19	24	77.93
1	20	1	82.56
1	20	2	83.11
1	20	3	85.56
1	20	4	77.93
1	20	5	79.29
